image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
1070.png,PruneSID,336,336,21,71,5337.0,38278.0,13916,29699,0.13942734730132192,0.17970302030371393
1071.png,DRIP,336,336,36,73,5007.0,31679.0,14308,22378,0.158054231509833,0.2237465367771919
1071.png,Fixed,336,336,36,72,3831.0,32659.0,14112,22378,0.11730304050950734,0.1711949235856645
1071.png,PruneSID,336,336,36,71,3656.0,32638.0,13916,22378,0.11201666768797108,0.16337474305121102
1072.png,DRIP,336,336,36,73,5007.0,31679.0,14308,22378,0.158054231509833,0.2237465367771919
1072.png,Fixed,336,336,36,72,3831.0,32659.0,14112,22378,0.11730304050950734,0.1711949235856645
1072.png,PruneSID,336,336,36,71,5093.0,31201.0,13916,22378,0.16323194769398416,0.2275895969255519
1073.png,DRIP,336,336,26,73,3425.0,31694.0,14308,20811,0.10806461790875245,0.16457642592859545
1073.png,Fixed,336,336,26,72,2781.0,32142.0,14112,20811,0.08652230726152697,0.1336312527028975
1073.png,PruneSID,336,336,26,71,5819.0,28908.0,13916,20811,0.2012937595129376,0.27961174378934217
1074.png,DRIP,336,336,26,73,3425.0,31694.0,14308,20811,0.10806461790875245,0.16457642592859545
1074.png,Fixed,336,336,26,72,2781.0,32142.0,14112,20811,0.08652230726152697,0.1336312527028975
1074.png,PruneSID,336,336,26,71,5855.0,28872.0,13916,20811,0.20279163203103354,0.28134159819326315
1075.png,DRIP,336,336,7,72,1731.0,17727.0,14112,5346,0.09764765611778643,0.32379349046015715
1075.png,Fixed,336,336,7,72,622.0,18836.0,14112,5346,0.03302187300913145,0.11634867190422746
1075.png,PruneSID,336,336,7,71,2274.0,16988.0,13916,5346,0.13385919472568872,0.42536475869809204
