class_idx,class_name,total,correct,accuracy
304,leaf beetle,50,27,0.5400000214576721
305,dung beetle,50,40,0.800000011920929
306,rhinoceros beetle,50,42,0.8399999737739563
307,weevil,50,38,0.7599999904632568
308,fly,50,33,0.6600000262260437
309,bee,50,40,0.800000011920929
310,ant,50,33,0.6600000262260437
311,grasshopper,50,28,0.5600000023841858
312,cricket,50,28,0.5600000023841858
313,walking stick,50,32,0.6399999856948853
314,cockroach,50,31,0.6200000047683716
315,mantis,50,31,0.6200000047683716
316,cicada,50,41,0.8199999928474426
317,leafhopper,50,45,0.8999999761581421
318,lacewing,50,38,0.7599999904632568
319,dragonfly,50,38,0.7599999904632568
320,damselfly,50,42,0.8399999737739563
321,admiral,50,47,0.9399999976158142
322,ringlet,50,43,0.8600000143051147
323,monarch,50,46,0.9200000166893005
324,cabbage butterfly,50,47,0.9399999976158142
325,sulphur butterfly,50,46,0.9200000166893005
326,lycaenid,50,47,0.9399999976158142
327,starfish,50,43,0.8600000143051147
328,sea urchin,50,41,0.8199999928474426
329,sea cucumber,50,34,0.6800000071525574
330,wood rabbit,50,38,0.7599999904632568
331,hare,50,40,0.800000011920929
332,Angora,50,44,0.8799999952316284
333,hamster,50,47,0.9399999976158142
334,porcupine,50,43,0.8600000143051147
335,fox squirrel,50,37,0.7400000095367432
336,marmot,50,45,0.8999999761581421
337,beaver,50,38,0.7599999904632568
338,guinea pig,50,40,0.800000011920929
339,sorrel,50,48,0.9599999785423279
340,zebra,50,47,0.9399999976158142
341,hog,50,25,0.5
342,wild boar,50,39,0.7799999713897705
343,warthog,50,42,0.8399999737739563
344,hippopotamus,50,46,0.9200000166893005
345,ox,50,25,0.5
346,water buffalo,50,41,0.8199999928474426
347,bison,50,43,0.8600000143051147
348,ram,50,29,0.5799999833106995
349,bighorn,50,35,0.699999988079071
350,ibex,50,45,0.8999999761581421
351,hartebeest,50,46,0.9200000166893005
352,impala,50,40,0.800000011920929
353,gazelle,50,31,0.6200000047683716
354,Arabian camel,50,43,0.8600000143051147
355,llama,50,43,0.8600000143051147
356,weasel,50,22,0.4399999976158142
357,mink,50,36,0.7200000286102295
358,polecat,50,24,0.47999998927116394
359,black-footed ferret,50,37,0.7400000095367432
360,otter,50,39,0.7799999713897705
361,skunk,50,45,0.8999999761581421
362,badger,50,44,0.8799999952316284
363,armadillo,50,45,0.8999999761581421
364,three-toed sloth,50,47,0.9399999976158142
365,orangutan,50,44,0.8799999952316284
366,gorilla,50,40,0.800000011920929
367,chimpanzee,50,44,0.8799999952316284
368,gibbon,50,38,0.7599999904632568
369,siamang,50,37,0.7400000095367432
370,guenon,50,40,0.800000011920929
371,patas,50,33,0.6600000262260437
372,baboon,50,43,0.8600000143051147
373,macaque,50,39,0.7799999713897705
374,langur,50,36,0.7200000286102295
375,colobus,50,44,0.8799999952316284
376,proboscis monkey,50,50,1.0
377,marmoset,50,41,0.8199999928474426
378,capuchin,50,41,0.8199999928474426
379,howler monkey,50,41,0.8199999928474426
380,titi,50,25,0.5
381,spider monkey,50,18,0.36000001430511475
382,squirrel monkey,50,41,0.8199999928474426
383,Madagascar cat,50,36,0.7200000286102295
384,indri,50,44,0.8799999952316284
385,Indian elephant,50,28,0.5600000023841858
386,African elephant,50,29,0.5799999833106995
387,lesser panda,50,47,0.9399999976158142
388,giant panda,50,44,0.8799999952316284
389,barracouta,50,36,0.7200000286102295
390,eel,50,28,0.5600000023841858
391,coho,50,37,0.7400000095367432
392,rock beauty,50,47,0.9399999976158142
393,anemone fish,50,47,0.9399999976158142
394,sturgeon,50,35,0.699999988079071
395,gar,50,29,0.5799999833106995
396,lionfish,50,46,0.9200000166893005
397,puffer,50,44,0.8799999952316284
398,abacus,50,38,0.7599999904632568
399,abaya,50,43,0.8600000143051147
400,academic gown,50,20,0.4000000059604645
401,accordion,50,40,0.800000011920929
402,acoustic guitar,50,25,0.5
403,aircraft carrier,50,45,0.8999999761581421
404,airliner,50,46,0.9200000166893005
405,airship,50,34,0.6800000071525574
406,altar,50,32,0.6399999856948853
407,ambulance,50,46,0.9200000166893005
408,amphibian,50,34,0.6800000071525574
409,analog clock,50,23,0.46000000834465027
410,apiary,50,41,0.8199999928474426
411,apron,50,32,0.6399999856948853
412,ashcan,50,28,0.5600000023841858
413,assault rifle,50,28,0.5600000023841858
414,backpack,50,19,0.3799999952316284
415,bakery,50,17,0.3400000035762787
416,balance beam,50,43,0.8600000143051147
417,balloon,50,44,0.8799999952316284
418,ballpoint,50,22,0.4399999976158142
419,Band Aid,50,36,0.7200000286102295
420,banjo,50,42,0.8399999737739563
421,bannister,50,32,0.6399999856948853
422,barbell,50,30,0.6000000238418579
423,barber chair,50,33,0.6600000262260437
424,barbershop,50,30,0.6000000238418579
425,barn,50,45,0.8999999761581421
426,barometer,50,40,0.800000011920929
427,barrel,50,28,0.5600000023841858
428,barrow,50,27,0.5400000214576721
429,baseball,50,35,0.699999988079071
430,basketball,50,42,0.8399999737739563
431,bassinet,50,36,0.7200000286102295
432,bassoon,50,34,0.6800000071525574
433,bathing cap,50,33,0.6600000262260437
434,bath towel,50,26,0.5199999809265137
435,bathtub,50,14,0.2800000011920929
